dsnumber,check_import,check_chanloc,remove_chan,cleanraw,runica,iclabel,dataqual,modality,debug_note,manual_debug_note,latest_batch_run
ds003969,ok,ok,ok,ok,ok,ok,0/392,eeg,,,06-29-2023
ds004000,ok,ok,ok,0/86,0/86,0/86,ok,eeg,,Error: epoched data was given to cleanraw,05-09-2024
ds003061,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds003638,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,11-02-2023
ds004521,ok,ok,ok,0/34,0/34,0/34,ok,eeg,,,01-17-2024
ds002761,-1,-1,-1,-1,-1,-1,-1,meg,,Done. Will not fix. NEMAR.json up to date.,07-31-2023
ds001849,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-04-2024
ds003844,ok,ok,ok,ok,37/38,0/38,37/38,ieeg,,,08-16-2023
ds003039,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds004706,-1,-1,-1,-1,-1,-1,-1,eeg,,Done. NEMAR.json updated. >1Tb too large.,08-12-2024
ds004252,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds004448,ok,ok,ok,155/280,155/280,155/280,156/280,eeg,,,12-19-2023
ds003602,ok,ok,ok,674/699,0/699,0/699,25/699,eeg,,,10-01-2023
ds003380,ok,ok,ok,ok,ok,0/1,ok,eeg,,,08-16-2023
ds004018,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds004080,ok,ok,ok,57/117,56/117,0/117,57/117,ieeg,,,01-17-2024
ds004324,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-01-2023
ds003887,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds003775,ok,ok,ok,ok,ok,ok,0/153,eeg,,"
",07-03-2023
ds004106,ok,ok,ok,0/29,0/29,0/29,0/29,eeg,,,08-22-2023
ds003688,ok,ok,ok,101/107,101/107,0/107,101/107,ieeg,,,02-21-2024
ds002721,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,08-16-2023
ds003655,ok,ok,ok,ok,155/156,155/156,ok,eeg,ok,,02-21-2024
ds004395,-1,-1,-1,-1,-1,-1,-1,eeg,,Done. NEMAR.json updated. 8Tb dataset too large to process.,08-12-2024
ds004147,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds003483,ok,ok,ok,24/41,0/41,0/41,24/41,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds003555,ok,ok,ok,ok,ok,ok,24/30,eeg,,,06-29-2023
ds002778,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004661,ok,ok,ok,ok,ok,ok,0/17,eeg,,,10-01-2023
ds003885,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds004657,ok,ok,ok,113/119,111/119,111/119,111/119,eeg,ok,,10-02-2023
ds003498,ok,ok,ok,ok,ok,0/385,ok,ieeg,,,08-17-2023
ds003522,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds003710,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds003343,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds003708,ok,ok,ok,0/1,0/1,0/1,0/1,ieeg,,,01-17-2024
ds002001,ok,ok,ok,0/59,0/59,0/59,1/59,meg,,,08-12-2024
ds004067,ok,ok,ok,49/84,38/84,38/84,44/84,eeg,,"Pending Response
contact authors. Badly formatted BIDS, subject 71 marker files. Status: pending.
",08-06-2024
ds003078,ok,ok,ok,ok,ok,0/72,ok,ieeg,,,08-16-2023
ds003801,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds002578,ok,ok,ok,1/2,0/2,0/2,ok,eeg,,,08-15-2024
ds003029,ok,ok,ok,87/106,87/106,0/106,89/106,ieeg,,,02-21-2024
ds001810,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-02-2023
ds003620,ok,ok,ok,ok,ok,ok,ok,eeg,ok,"Issue tracked by https://github.com/sccn/NEMAR-pipeline/issues/29

Ignored subject 36 which has corrupted data.",07-31-2023
ds004660,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-01-2023
